Map,agent,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time,rsl21_rate
philippines25,concentration2_cluster_9_group_none,78.682,88.963,63.085,88.468,26.618,122212858.879,120036045.07,41685.718,0.308
philippines30,concentration2_cluster_9_group_none,87.809,89.346,34.348,52.194,29.437,157079751.008,172027400.646,33319,0.398
philippines34,concentration2_cluster_9_group_none,82.699,90.248,78.042,50.014,44.951,78066027.634,212291246.524,37599.355,0.629
romania06,concentration2_cluster_9_group_none,78.721,78.828,45.393,57.572,14.335,162924577.826,194907567.65,14514.19,0.667
russia08,concentration2_cluster_9_group_none,82.614,95.276,57.453,92.059,29.998,58349207.135,147301710.582,51277.51,0.567
sapporo,concentration2_cluster_9_group_none,88.625,90.163,69.91,93.223,10.343,70383330.973,130030257.062,56410.631,0.677
serbia02,concentration2_cluster_9_group_none,78.375,82.48,92.736,37.979,59.99,162814313.333,169089156.181,24970.568,0.741
serbia04,concentration2_cluster_9_group_none,88.583,85.201,91.862,68.248,5.709,211090155.049,108471796.581,40215.171,0.531
singapore20,concentration2_cluster_9_group_none,90.052,83.305,81.368,73.212,3.336,179705600.64,181278504.33,33655.026,0.319
slovenia06,concentration2_cluster_9_group_none,90.581,82.932,77.303,50.666,34.084,105440552.006,123874036.125,54500.1,0.603
slovenia10,concentration2_cluster_9_group_none,92.712,78.355,78.899,81.825,24.097,43414428.587,164015802.796,45800.182,0.267
spain07,concentration2_cluster_9_group_none,90.466,93.514,55.928,92.761,14.653,132851185.05,171754610.965,10387.296,0.743
tokyo03,concentration2_cluster_9_group_none,88.832,77.821,75.112,65.692,4.484,265141759.454,116790222.476,43011.227,0.334
tokyo12,concentration2_cluster_9_group_none,90.212,77.595,36.947,33.018,27.294,215484201.805,134098595.35,43383.813,0.66
tokyo21,concentration2_cluster_9_group_none,96.979,88.337,44.722,29.742,41.018,110194482.899,223234945.434,23655.021,0.715
turkey13,concentration2_cluster_9_group_none,95.717,95.363,45.962,40.728,22.826,147260141.039,90210193.497,32589.626,0.28
turkey18,concentration2_cluster_9_group_none,91.709,84.338,40.009,30.788,42.606,242593746.423,229798939.215,56704.136,0.431
turkey33,concentration2_cluster_9_group_none,84.136,84.468,34.396,85.582,51.804,139089221.133,112691152.644,30236.821,0.631
ukraine01,concentration2_cluster_9_group_none,84.319,77.659,36.931,66.979,55.677,125033399.266,157971245.24,28303.227,0.555
ukraine11,concentration2_cluster_9_group_none,86.92,84.812,70.784,75.615,14.828,150301903.374,180642855.302,25164.513,0.378
ukraine12,concentration2_cluster_9_group_none,81.283,83.145,49.742,30.471,13.489,163042867.75,247733106.051,43438.142,0.578
venezuela01,concentration2_cluster_9_group_none,95.425,79.825,80.32,78.211,10.411,259163536.113,253268164.891,17115.357,0.749
venezuela02,concentration2_cluster_9_group_none,81.488,79.542,83.101,93.001,16.394,74734598.436,192777939.216,56416.954,0.448
yamanashi,concentration2_cluster_9_group_none,83.411,89.393,71.45,32.267,58.209,44254545.51,86207431.951,44878.028,0.303
